location_name,location_id,data_date,case_inflection_date,lag
Saxony,60390,2/14/22,1/15/22,28
Saxony-Anhalt ,60389,2/14/22,1/15/22,28
Schleswig-Holstein,60391,2/14/22,12/27/21,28
Thuringia,60392,2/14/22,1/15/22,28
Greece,82,2/14/22,12/22/21,42
Iceland,83,2/14/22,12/21/21,28
Ireland,84,2/14/22,12/18/21,28
Israel,85,2/14/22,12/8/21,56
Abruzzo,35507,2/14/22,12/25/21,28
Basilicata,35511,2/14/22,12/24/21,28
Calabria,35512,2/14/22,12/24/21,28
Campania,35509,2/14/22,12/24/21,28
Emilia-Romagna,35502,2/14/22,12/25/21,28
Friuli-Venezia Giulia,35501,2/14/22,12/25/21,28
Lazio,35506,2/14/22,12/22/21,28
Liguria,35496,2/14/22,1/5/22,28
Lombardia,35497,2/14/22,12/20/21,28
Marche,35505,2/14/22,12/24/21,28
Molise,35508,2/14/22,12/24/21,28
Piemonte,35494,2/14/22,12/20/21,28
Provincia autonoma di Bolzano ,35498,2/14/22,12/24/21,28
Provincia autonoma di Trento,35499,2/14/22,12/24/21,28
Puglia,35510,2/14/22,12/25/21,28
Sardegna,35514,2/14/22,12/24/21,28
Sicilia,35513,2/14/22,12/24/21,28
Toscana,35503,2/14/22,12/24/21,28
Umbria,35504,2/14/22,12/22/21,28
Valle d'Aosta,35495,2/14/22,12/24/21,28
Veneto,35500,2/14/22,12/24/21,28
Luxembourg,87,2/14/22,12/24/21,28
Malta,88,2/14/22,12/15/21,42
Monaco,367,2/14/22,12/22/21,28
Netherlands,89,2/14/22,12/22/21,28
Norway,90,2/14/22,12/25/21,21
Portugal,91,2/14/22,12/23/21,28
San Marino,396,2/14/22,12/24/21,28
Andalucia,60357,2/14/22,12/8/21,28
Aragon,60358,2/14/22,12/18/21,28
Asturias,60365,2/14/22,12/18/21,28
Balearic Islands,60363,2/14/22,12/22/21,28
Basque Country,60374,2/14/22,12/15/21,28
Canary Islands,60364,2/14/22,12/10/21,28
Cantabria,60359,2/14/22,12/17/21,28
Castile and León ,60367,2/14/22,12/18/21,28
Castilla-La Mancha ,60360,2/14/22,12/18/21,28
Catalonia,60368,2/14/22,12/15/21,28
Ceuta,60369,2/14/22,12/22/21,28
Community of Madrid,60361,2/14/22,12/10/21,28
Extremadura,60362,2/14/22,12/18/21,28
Galicia,60372,2/14/22,12/18/21,28
La Rioja,60376,2/14/22,12/10/21,28
Melilla,60373,2/14/22,12/22/21,28
Murcia,60366,2/14/22,12/18/21,28
Navarre,60370,2/14/22,12/16/21,28
Valencian Community,60371,2/14/22,12/15/21,28
Sweden,93,2/14/22,12/22/21,28
Switzerland,94,2/14/22,12/22/21,28
England,4749,2/14/22,12/10/21,42
Northern Ireland,433,2/14/22,12/15/21,42
Scotland,434,2/14/22,12/15/21,42
Wales,4636,2/14/22,12/15/21,42
Bolivia (Plurinational State of) ,121,2/14/22,12/25/21,28
Ecuador,122,2/14/22,12/22/21,28
Peru,123,2/14/22,12/30/21,28
Antigua and Barbuda ,105,2/14/22,12/30/21,28
Bahamas,106,2/14/22,12/17/21,28
Barbados,107,2/14/22,12/18/21,28
Belize,108,2/14/22,12/24/21,28
Bermuda,305,2/14/22,12/10/21,28
Cuba,109,2/14/22,12/22/21,28
Dominica,110,2/14/22,12/28/21,28
Dominican Republic,111,2/14/22,12/18/21,28
Grenada,112,2/14/22,12/24/21,28
Guyana,113,2/14/22,12/24/21,28
Haiti,114,2/14/22,12/31/21,28
Jamaica,115,2/14/22,12/20/21,28
Puerto Rico,385,2/14/22,12/15/21,35
Saint Kitts and Nevis ,393,2/14/22,12/22/21,28
Saint Lucia ,116,2/14/22,12/20/21,28
Saint Vincent and the Grenadines,117,2/14/22,12/28/21,28
Suriname,118,2/14/22,12/24/21,28
Trinidad and Tobago,119,2/14/22,12/29/21,28
United States Virgin Islands,422,2/14/22,12/17/21,28
Colombia,125,2/14/22,12/22/21,28
Costa Rica,126,2/14/22,12/22/21,28
El Salvador ,127,2/14/22,1/4/22,28
Guatemala,128,2/14/22,12/28/21,28
Honduras,129,2/14/22,1/4/22,28
Aguascalientes,4643,2/14/22,12/18/21,28
Baja California,4644,2/14/22,12/20/21,28
Baja California Sur ,4645,2/14/22,12/10/21,28
Campeche,4646,2/14/22,12/23/21,28
Coahuila,4647,2/14/22,12/22/21,28
Colima,4648,2/14/22,12/22/21,28
Chiapas,4649,2/14/22,12/23/21,28
Chihuahua,4650,2/14/22,12/22/21,28
Mexico City,4651,2/14/22,12/15/21,28
Durango,4652,2/14/22,12/22/21,28
Guanajuato,4653,2/14/22,12/20/21,28
Guerrero,4654,2/14/22,12/20/21,28
Hidalgo,4655,2/14/22,12/18/21,28
Jalisco,4656,2/14/22,12/20/21,28
México,4657,2/14/22,12/19/21,28
Michoacán de Ocampo ,4658,2/14/22,12/20/21,28
Morelos,4659,2/14/22,12/22/21,28
Nayarit,4660,2/14/22,12/23/21,28
Nuevo Leon,4661,2/14/22,12/20/21,28
Oaxaca,4662,2/14/22,12/22/21,28
Puebla,4663,2/14/22,12/20/21,28
Querétaro,4664,2/14/22,12/20/21,28
Quintana Roo,4665,2/14/22,12/15/21,28
San Luis Potosí ,4666,2/14/22,12/17/21,28
Sinaloa,4667,2/14/22,12/20/21,28
Sonora,4668,2/14/22,12/22/21,28
Tabasco,4669,2/14/22,12/18/21,28
Tamaulipas,4670,2/14/22,12/17/21,28
Tlaxcala,4671,2/14/22,12/22/21,28
Veracruz de Ignacio de la Llave,4672,2/14/22,12/22/21,28
Yucatán,4673,2/14/22,12/15/21,28
Zacatecas,4674,2/14/22,12/17/21,28
Nicaragua,131,2/14/22,,28
Panama,132,2/14/22,12/17/21,28
Venezuela (Bolivarian Republic of) ,133,2/14/22,1/7/22,28
Acre,4750,2/14/22,1/7/22,28
Alagoas,4751,2/14/22,1/3/22,28
Amazonas,4752,2/14/22,1/3/22,28
Amapa,4753,2/14/22,1/7/22,28
Bahia,4754,2/14/22,1/4/22,28
Ceara,4755,2/14/22,1/4/22,28
Distrito Federal ,4756,2/14/22,12/28/21,28
Espírito Santo,4757,2/14/22,1/4/22,28
Goias,4758,2/14/22,1/1/22,28
Maranhao,4759,2/14/22,1/4/22,28
Minas Gerais,4760,2/14/22,12/28/21,28
Mato Grosso do Sul,4761,2/14/22,1/4/22,28
Mato Grosso,4762,2/14/22,1/3/22,28
Pará,4763,2/14/22,1/22/22,28
Paraíba,4764,2/14/22,1/9/22,28
Paraná,4765,2/14/22,1/4/22,28
Pernambuco,4766,2/14/22,1/6/22,28
Piaui,4767,2/14/22,1/22/22,28
Rio de Janeiro,4768,2/14/22,12/30/21,28
Rio Grande do Norte ,4769,2/14/22,1/15/22,28
Rondônia ,4770,2/14/22,1/3/22,28
Roraima,4771,2/14/22,1/6/22,28
Rio Grande do Sul ,4772,2/14/22,12/31/21,28
Santa Catarina,4773,2/14/22,12/30/21,28
Sergipe ,4774,2/14/22,1/6/22,28
Sao Paulo,4775,2/14/22,12/28/21,28
Tocantins,4776,2/14/22,12/31/21,28
Paraguay,136,2/14/22,12/27/21,28
Afghanistan,160,2/14/22,1/17/22,28
Algeria,139,2/14/22,1/17/22,28
Bahrain,140,2/14/22,12/15/21,28
Egypt,141,2/14/22,1/5/22,28
Iran (Islamic Republic of) ,142,2/14/22,1/15/22,28
Iraq,143,2/14/22,1/6/22,28
Jordan,144,2/14/22,1/6/22,28
Kuwait,145,2/14/22,12/15/21,28
Lebanon,146,2/14/22,12/24/21,28
Libya,147,2/14/22,1/17/22,28
Morocco,148,2/14/22,12/15/21,28
Oman,150,2/14/22,12/22/21,28
Palestine,149,2/14/22,1/1/22,28
Qatar,151,2/14/22,12/17/21,28
Saudi Arabia,152,2/14/22,12/15/21,28
Sudan,522,2/14/22,1/5/22,28
Syrian Arab Republic,153,2/14/22,1/12/22,28
Tunisia,154,2/14/22,12/25/21,28
Turkey,155,2/14/22,12/18/21,28
United Arab Emirates,156,2/14/22,12/10/21,28
Yemen,157,2/14/22,1/7/22,28
Bangladesh,161,2/14/22,12/30/21,28
Bhutan,162,2/14/22,1/3/22,28
Andhra Pradesh,4841,2/14/22,1/3/22,21
Arunachal Pradesh,4842,2/14/22,1/1/22,21
Assam,4843,2/14/22,12/30/21,21
Bihar,4844,2/14/22,12/30/21,21
Chhattisgarh,4846,2/14/22,12/30/21,21
Dadra and Nagar Haveli and Daman and Diu,60896,2/14/22,12/31/21,21
Delhi,4849,2/14/22,12/28/21,21
Goa,4850,2/14/22,12/28/21,21
Gujarat,4851,2/14/22,12/28/21,21
Haryana,4852,2/14/22,12/27/21,21
Himachal Pradesh,4853,2/14/22,12/31/21,21
Jammu & Kashmir and Ladakh,4854,2/14/22,12/30/21,21
Jharkhand,4855,2/14/22,12/25/21,21
Karnataka,4856,2/14/22,12/30/21,21
Kerala,4857,2/14/22,1/3/22,21
Madhya Pradesh,4859,2/14/22,1/1/22,28
Maharashtra,4860,2/14/22,12/24/21,21
Manipur,4861,2/14/22,1/1/22,21
Meghalaya,4862,2/14/22,1/1/22,21
Mizoram,4863,2/14/22,1/2/22,21
Nagaland,4864,2/14/22,1/4/22,21
Odisha,4865,2/14/22,12/30/21,21
Punjab,4867,2/14/22,12/29/21,28
Rajasthan,4868,2/14/22,12/30/21,21
Sikkim,4869,2/14/22,1/4/22,21
Tamil Nadu,4870,2/14/22,12/28/21,21
Telangana,4871,2/14/22,12/28/21,21
Tripura,4872,2/14/22,12/31/21,21
Uttar Pradesh,4873,2/14/22,12/31/21,21
Uttarakhand,4874,2/14/22,12/30/21,21
West Bengal,4875,2/14/22,12/27/21,28
Nepal,164,2/14/22,1/5/22,28
Azad Jammu & Kashmir,53615,2/14/22,1/15/22,28
Balochistan,53616,2/14/22,1/15/22,28
Gilgit-Baltistan,53617,2/14/22,1/8/22,28
Islamabad Capital Territory,53618,2/14/22,12/30/21,28
Khyber Pakhtunkhwa,53619,2/14/22,1/8/22,28
Punjab,53620,2/14/22,12/27/21,28
Sindh,53621,2/14/22,12/27/21,28
China,6,2/14/22,,28
Hong Kong Special Administrative Region of China,354,2/14/22,,28
Macao Special Administrative Region of China,361,2/14/22,,28
Anhui,491,2/14/22,,28
Beijing,492,2/14/22,,28
Chongqing,493,2/14/22,,28
Fujian,494,2/14/22,,28
Gansu,495,2/14/22,,28
Guangdong,496,2/14/22,,28
Guangxi,497,2/14/22,,28
Guizhou,498,2/14/22,,28
Hainan,499,2/14/22,,28
Hebei,500,2/14/22,,28
Heilongjiang,501,2/14/22,,28
Henan,502,2/14/22,,28
Hubei,503,2/14/22,,28
Hunan,504,2/14/22,,28
Inner Mongolia,505,2/14/22,,28
Jiangsu,506,2/14/22,,28
Jiangxi,507,2/14/22,,28
Jilin,508,2/14/22,,28
Liaoning,509,2/14/22,,28
Ningxia,510,2/14/22,,28
Qinghai,511,2/14/22,,28
Shaanxi,512,2/14/22,,28
Shandong,513,2/14/22,,28
Shanghai,514,2/14/22,,28
Shanxi,515,2/14/22,,28
Sichuan,516,2/14/22,,28
Tianjin,517,2/14/22,,28
Tibet,518,2/14/22,,28
Xinjiang,519,2/14/22,,28
Yunnan,520,2/14/22,,28
Zhejiang,521,2/14/22,,28
Democratic People's Republic of Korea,7,2/14/22,,28
Taiwan (Province of China) ,8,2/14/22,1/4/22,35
American Samoa,298,2/14/22,,28
Cook Islands,320,2/14/22,,28
Fiji,22,2/14/22,12/17/21,28
Guam,351,2/14/22,12/28/21,28
Kiribati,23,2/14/22,1/15/22,28
Marshall Islands,24,2/14/22,,28
Micronesia (Federated States of),25,2/14/22,,28
Northern Mariana Islands,376,2/14/22,1/22/22,28
Palau,380,2/14/22,1/5/22,28
Papua New Guinea,26,2/14/22,1/22/22,28
Samoa,27,2/14/22,1/15/22,28
Solomon Islands ,28,2/14/22,12/22/21,28
Tonga,29,2/14/22,2/1/22,28
Vanuatu,30,2/14/22,,28
Cambodia,10,2/14/22,2/3/22,28
Indonesia,11,2/14/22,1/15/22,28
Lao People's Democratic Republic ,12,2/14/22,,28
Malaysia,13,2/14/22,2/3/22,28
Maldives,14,2/14/22,1/1/22,28
Mauritius,183,2/14/22,,28
Myanmar,15,2/14/22,2/3/22,28
Philippines,16,2/14/22,12/24/21,56
Seychelles,186,2/14/22,12/24/21,28
Sri Lanka,17,2/14/22,12/29/21,28
Thailand,18,2/14/22,12/29/21,35
Timor-Leste,19,2/14/22,1/27/22,28
Vietnam,20,2/14/22,2/3/22,28
Angola,168,2/14/22,12/10/21,28
Central African Republic,169,2/14/22,12/22/21,28
Congo,170,2/14/22,12/13/21,28
Democratic Republic of the Congo,171,2/14/22,11/27/21,28
Equatorial Guinea,172,2/14/22,12/24/21,28
Gabon,173,2/14/22,12/17/21,28
Burundi,175,2/14/22,12/5/21,28
Comoros,176,2/14/22,12/10/21,28
Djibouti,177,2/14/22,12/15/21,28
Eritrea,178,2/14/22,1/1/22,28
Ethiopia,179,2/14/22,12/10/21,28
Kenya,180,2/14/22,12/10/21,28
Madagascar,181,2/14/22,12/10/21,28
Malawi,182,2/14/22,12/8/21,28
Mozambique,184,2/14/22,12/3/21,28
Rwanda,185,2/14/22,12/8/21,28
Somalia,187,2/14/22,12/10/21,28
South Sudan,435,2/14/22,12/13/21,28
Uganda,190,2/14/22,12/14/21,28
United Republic of Tanzania,189,2/14/22,12/12/21,28
Zambia,191,2/14/22,12/8/21,28
Botswana,193,2/14/22,12/4/21,28
Eswatini,197,2/14/22,11/27/21,28
Lesotho,194,2/14/22,11/29/21,28
Namibia,195,2/14/22,11/28/21,28
South Africa,196,2/14/22,11/15/21,28
Zimbabwe,198,2/14/22,11/25/21,28
Benin,200,2/14/22,12/18/21,28
Burkina Faso,201,2/14/22,12/18/21,28
Cabo Verde,203,2/14/22,12/18/21,28
Cameroon,202,2/14/22,12/18/21,28
Chad,204,2/14/22,1/1/22,28
Côte d'Ivoire ,205,2/14/22,12/17/21,28
Gambia,206,2/14/22,12/26/21,28
Ghana,207,2/14/22,12/18/21,28
Guinea,208,2/14/22,12/17/21,28
Guinea-Bissau ,209,2/14/22,12/30/21,28
Liberia,210,2/14/22,12/22/21,28
Mali,211,2/14/22,12/24/21,28
Mauritania,212,2/14/22,12/23/21,28
Niger,213,2/14/22,12/24/21,28
Nigeria,214,2/14/22,12/6/21,28
Sao Tome and Principe,215,2/14/22,12/24/21,28
Senegal,216,2/14/22,12/22/21,28
Sierra Leone,217,2/14/22,12/14/21,28
Togo,218,2/14/22,12/13/21,28
